,,sum,mean
,,sale_price,sale_price
district,neighborhood,,
Bronx,BATHGATE,19684293.0,596493.7272727273
Bronx,BAYCHESTER,100729034.0,407809.85425101215
Bronx,BEDFORD PARK/NORWOOD,49696670.0,443720.26785714284
Bronx,BELMONT,35382557.0,1220088.1724137932
Bronx,BRONXDALE,74450163.0,396011.50531914894
Bronx,CASTLE HILL/UNIONPORT,43077161.0,458267.670212766
Bronx,CITY ISLAND,20394443.0,485581.9761904762
Bronx,CITY ISLAND-PELHAM STRIP,736000.0,736000.0
Bronx,CO-OP CITY,537000.0,268500.0
Bronx,COUNTRY CLUB,44278807.0,503168.26136363635
Bronx,CROTONA PARK,11997149.0,444338.85185185185
Bronx,EAST TREMONT,35178880.0,439736.0
Bronx,FIELDSTON,11680473.0,467218.92
Bronx,FORDHAM,27231255.0,756423.75
Bronx,HIGHBRIDGE/MORRIS HEIGHTS,18601071.0,357712.9038461539
Bronx,HUNTS POINT,14985582.0,535199.3571428572
Bronx,KINGSBRIDGE HTS/UNIV HTS,15223732.0,262478.1379310345
Bronx,KINGSBRIDGE/JEROME PARK,39530591.0,352951.70535714284
Bronx,MELROSE/CONCOURSE,44508828.0,397400.25
Bronx,MORRIS PARK/VAN NEST,86955653.0,530217.3963414634
Bronx,MORRISANIA/LONGWOOD,78027389.0,490738.2955974843
Bronx,MOTT HAVEN/PORT MORRIS,57244551.0,938435.262295082
Bronx,MOUNT HOPE/MOUNT EDEN,24920750.0,623018.75
Bronx,PARKCHESTER,30893050.0,441329.28571428574
Bronx,PELHAM GARDENS,20850146.0,521253.65
Bronx,PELHAM PARKWAY NORTH,36436570.0,492386.08108108107
Bronx,PELHAM PARKWAY SOUTH,22106154.0,340094.6769230769
Bronx,RIVERDALE,208434141.0,463186.98
Bronx,SCHUYLERVILLE/PELHAM BAY,63973272.0,481002.045112782
Bronx,SOUNDVIEW,131654528.0,493088.1198501873
Bronx,THROGS NECK,89828093.0,467854.6510416667
Bronx,VAN CORTLANDT PARK,324900.0,162450.0
Bronx,WAKEFIELD,50070158.0,397382.20634920633
Bronx,WESTCHESTER,31209920.0,511638.0327868852
Bronx,WILLIAMSBRIDGE,113918764.0,431510.4696969697
Bronx,WOODLAWN,16553340.0,359855.2173913043
Brooklyn,BATH BEACH,112607048.0,893706.7301587302
Brooklyn,BAY RIDGE,327552316.0,793104.8813559322
Brooklyn,BEDFORD STUYVESANT,729304055.0,1132459.7127329193
Brooklyn,BENSONHURST,280296395.0,1167901.6458333333
Brooklyn,BERGEN BEACH,34683702.0,587859.3559322034
Brooklyn,BOERUM HILL,255931006.0,2047448.048
Brooklyn,BOROUGH PARK,505912920.0,1131796.2416107382
Brooklyn,BRIGHTON BEACH,110169424.0,605326.5054945055
Brooklyn,BROOKLYN HEIGHTS,580829339.0,2233958.9961538464
Brooklyn,BROWNSVILLE,52504816.0,473016.36036036036
Brooklyn,BUSH TERMINAL,16103430.0,766830.0
Brooklyn,BUSHWICK,323628465.0,951848.4264705882
Brooklyn,CANARSIE,166957442.0,474310.9147727273
Brooklyn,CARROLL GARDENS,181580325.0,2040228.370786517
Brooklyn,CLINTON HILL,230828142.0,1125990.9365853658
Brooklyn,COBBLE HILL,119870831.0,1410245.0705882353
Brooklyn,COBBLE HILL-WEST,35895699.0,1380603.8076923077
Brooklyn,CONEY ISLAND,55806013.0,465050.10833333334
Brooklyn,CROWN HEIGHTS,344544984.0,1031571.8083832335
Brooklyn,CYPRESS HILLS,101052620.0,526315.7291666666
Brooklyn,DOWNTOWN-FULTON FERRY,242369729.0,1970485.6016260162
Brooklyn,DOWNTOWN-FULTON MALL,406199857.0,2554716.0817610063
Brooklyn,DOWNTOWN-METROTECH,59626409.0,816800.1232876712
Brooklyn,DYKER HEIGHTS,143697123.0,1019128.5319148937
Brooklyn,EAST NEW YORK,233630824.0,472936.8906882591
Brooklyn,FLATBUSH-CENTRAL,264492735.0,902705.5802047781
Brooklyn,FLATBUSH-EAST,212651837.0,503914.30568720377
Brooklyn,FLATBUSH-LEFFERTS GARDEN,103488743.0,1162794.8651685393
Brooklyn,FLATBUSH-NORTH,101652031.0,558527.6428571428
Brooklyn,FLATLANDS,52456150.0,444543.6440677966
Brooklyn,FORT GREENE,119900428.0,1248962.7916666667
Brooklyn,GERRITSEN BEACH,28451800.0,451615.873015873
Brooklyn,GOWANUS,156267571.0,1796178.9770114943
Brooklyn,GRAVESEND,229399614.0,762124.9634551496
Brooklyn,GREENPOINT,268179190.0,1481652.9834254144
Brooklyn,KENSINGTON,84986958.0,1011749.5
Brooklyn,MADISON,159990450.0,869513.3152173914
Brooklyn,MANHATTAN BEACH,52453469.0,1165632.6444444444
Brooklyn,MARINE PARK,118684436.0,557203.9248826291
Brooklyn,MIDWOOD,203819223.0,922258.92760181
Brooklyn,MILL BASIN,60751476.0,880456.1739130435
Brooklyn,NAVY YARD,29946672.0,1109136.0
Brooklyn,OCEAN HILL,137492605.0,763847.8055555555
Brooklyn,OCEAN PARKWAY-NORTH,256436659.0,906136.6042402827
Brooklyn,OCEAN PARKWAY-SOUTH,155176734.0,923671.0357142857
Brooklyn,OLD MILL BASIN,64673005.0,461950.03571428574
Brooklyn,PARK SLOPE,614889048.0,1639704.128
Brooklyn,PARK SLOPE SOUTH,138474698.0,1555895.4831460675
Brooklyn,PROSPECT HEIGHTS,248639356.0,1114974.6905829597
Brooklyn,RED HOOK,49146160.0,1585360.0
Brooklyn,SEAGATE,20077906.0,692341.5862068966
Brooklyn,SHEEPSHEAD BAY,228341064.0,528567.2777777778
Brooklyn,SPRING CREEK,16897115.0,422427.875
Brooklyn,SUNSET PARK,246622019.0,1067627.7878787878
Brooklyn,WILLIAMSBURG-CENTRAL,60345921.0,783713.2597402597
Brooklyn,WILLIAMSBURG-EAST,249641689.0,1443015.5433526011
Brooklyn,WILLIAMSBURG-NORTH,228499899.0,1620566.6595744682
Brooklyn,WILLIAMSBURG-SOUTH,330766758.0,1389776.294117647
Brooklyn,WINDSOR TERRACE,95375573.0,1071635.6516853932
Brooklyn,WYCKOFF HEIGHTS,45817530.0,1347574.4117647058
Manhattan,ALPHABET CITY,36782840.0,5254691.428571428
Manhattan,CHELSEA,170740165.0,8130484.047619048
Manhattan,CHINATOWN,25105010.0,4184168.3333333335
Manhattan,CLINTON,60135010.0,8590715.714285715
Manhattan,EAST VILLAGE,29639394.0,4939899.0
Manhattan,FASHION,29290319.0,14645159.5
Manhattan,FLATIRON,54275000.0,13568750.0
Manhattan,GRAMERCY,100744103.0,10074410.3
Manhattan,GREENWICH VILLAGE-CENTRAL,125916999.0,11446999.909090908
Manhattan,GREENWICH VILLAGE-WEST,244326760.0,9049139.25925926
Manhattan,HARLEM-CENTRAL,220710012.0,2536896.6896551726
Manhattan,HARLEM-EAST,117633899.0,2735672.069767442
Manhattan,HARLEM-UPPER,85114020.0,2431829.1428571427
Manhattan,HARLEM-WEST,6717500.0,1679375.0
Manhattan,INWOOD,1369242.0,684621.0
Manhattan,JAVITS CENTER,33070000.0,6614000.0
Manhattan,KIPS BAY,57500000.0,11500000.0
Manhattan,LITTLE ITALY,9500000.0,9500000.0
Manhattan,LOWER EAST SIDE,83788000.0,6982333.333333333
Manhattan,MANHATTAN VALLEY,15128622.0,3782155.5
Manhattan,MIDTOWN CBD,22750000.0,11375000.0
Manhattan,MIDTOWN EAST,135995000.0,11332916.666666666
Manhattan,MIDTOWN WEST,142512540.0,15834726.666666666
Manhattan,MURRAY HILL,108861500.0,6803843.75
Manhattan,SOHO,137421500.0,17177687.5
Manhattan,UPPER EAST SIDE (59-79),360270053.0,11621614.612903226
Manhattan,UPPER EAST SIDE (79-96),332302088.0,8981137.513513513
Manhattan,UPPER EAST SIDE (96-110),9734400.0,9734400.0
Manhattan,UPPER WEST SIDE (59-79),104585010.0,6536563.125
Manhattan,UPPER WEST SIDE (79-96),141618158.0,6743721.80952381
Manhattan,UPPER WEST SIDE (96-116),30908000.0,5151333.333333333
Manhattan,WASHINGTON HEIGHTS LOWER,31306425.0,2408186.5384615385
Manhattan,WASHINGTON HEIGHTS UPPER,17481460.0,3496292.0
Queeens,AIRPORT LA GUARDIA,2037510.0,509377.5
Queeens,ARVERNE,42974879.0,397915.5462962963
Queeens,ASTORIA,320469249.0,1381332.9698275863
Queeens,BAYSIDE,304950266.0,896912.5470588235
Queeens,BEECHHURST,31811428.0,963982.6666666666
Queeens,BELLE HARBOR,43571713.0,889218.6326530612
Queeens,BELLEROSE,67825341.0,574791.0254237289
Queeens,BRIARWOOD,24497500.0,765546.875
Queeens,BROAD CHANNEL,7529207.0,289584.8846153846
Queeens,CAMBRIA HEIGHTS,42938341.0,376652.1140350877
Queeens,COLLEGE POINT,139164962.0,786242.7231638418
Queeens,CORONA,198913493.0,900061.0542986426
Queeens,DOUGLASTON,61918577.0,998686.7258064516
Queeens,EAST ELMHURST,101842589.0,722287.8652482269
Queeens,ELMHURST,164182934.0,938188.1942857143
Queeens,FAR ROCKAWAY,81297099.0,472657.5523255814
Queeens,FLORAL PARK,53110366.0,603526.8863636364
Queeens,FLUSHING-NORTH,640321475.0,1026156.2099358974
Queeens,FLUSHING-SOUTH,203895751.0,799591.1803921568
Queeens,FOREST HILLS,161615123.0,1243193.2538461538
Queeens,FRESH MEADOWS,48378405.0,834110.4310344828
Queeens,GLEN OAKS,18772849.0,647339.6206896552
Queeens,GLENDALE,114432237.0,710759.2360248447
Queeens,HAMMELS,14934085.0,439237.79411764705
Queeens,HILLCREST,19767510.0,637661.6129032258
Queeens,HOLLIS,99590101.0,436798.68859649124
Queeens,HOLLIS HILLS,16774900.0,882889.4736842106
Queeens,HOLLISWOOD,27556788.0,861149.625
Queeens,HOWARD BEACH,98379376.0,575317.9883040936
Queeens,JACKSON HEIGHTS,141317266.0,776468.4945054945
Queeens,JAMAICA,57855967.0,781837.3918918918
Queeens,JAMAICA BAY,3487075.0,290589.5833333333
Queeens,JAMAICA ESTATES,49601298.0,972574.4705882353
Queeens,JAMAICA HILLS,30555980.0,745267.8048780488
Queeens,KEW GARDENS,37392646.0,1068361.3142857142
Queeens,LAURELTON,74334991.0,408434.0164835165
Queeens,LITTLE NECK,65322948.0,946709.3913043478
Queeens,LONG ISLAND CITY,103403932.0,2110284.326530612
Queeens,MASPETH,127701102.0,755627.8224852071
Queeens,MIDDLE VILLAGE,158131132.0,742399.6807511738
Queeens,NEPONSIT,16559750.0,974102.9411764706
Queeens,OAKLAND GARDENS,46147419.0,839043.9818181818
Queeens,OZONE PARK,182784922.0,650480.1494661921
Queeens,QUEENS VILLAGE,141561181.0,456648.9709677419
Queeens,REGO PARK,76372019.0,888046.7325581395
Queeens,RICHMOND HILL,198958340.0,539182.4932249322
Queeens,RIDGEWOOD,148803457.0,1047911.6690140845
Queeens,ROCKAWAY PARK,11849250.0,473970.0
Queeens,ROSEDALE,110859499.0,475791.84120171674
Queeens,SO. JAMAICA-BAISLEY PARK,143280060.0,380053.2095490716
Queeens,SOUTH JAMAICA,124093059.0,412269.29900332226
Queeens,SOUTH OZONE PARK,146367641.0,466138.9840764331
Queeens,SPRINGFIELD GARDENS,134326060.0,444788.27814569534
Queeens,ST. ALBANS,130431298.0,389347.1582089552
Queeens,SUNNYSIDE,54114286.0,966326.5357142857
Queeens,WHITESTONE,145930219.0,917800.1194968553
Queeens,WOODHAVEN,129495845.0,578106.4508928572
Queeens,WOODSIDE,68745706.0,996314.5797101449
Staten Island,ANNADALE,49006756.0,597643.3658536585
Staten Island,ARDEN HEIGHTS,68138956.0,393866.79768786125
Staten Island,ARROCHAR,8327249.0,520453.0625
Staten Island,ARROCHAR-SHORE ACRES,4661192.0,423744.7272727273
Staten Island,BULLS HEAD,81764288.0,480966.4
Staten Island,CASTLETON CORNERS,44285489.0,540066.9390243902
Staten Island,CLOVE LAKES,29900452.0,533936.6428571428
Staten Island,CONCORD,22230518.0,352865.3650793651
Staten Island,CONCORD-FOX HILLS,4992296.0,332819.73333333334
Staten Island,DONGAN HILLS,27836934.0,647370.5581395349
Staten Island,DONGAN HILLS-COLONY,22199771.0,739992.3666666667
Staten Island,DONGAN HILLS-OLD TOWN,1359000.0,453000.0
Staten Island,ELTINGVILLE,100769617.0,522122.3678756477
Staten Island,EMERSON HILL,2200000.0,550000.0
Staten Island,FRESH KILLS,399003.0,199501.5
Staten Island,GRANT CITY,28981583.0,526937.8727272727
Staten Island,GRASMERE,22162644.0,568272.9230769231
Staten Island,GREAT KILLS,175840765.0,485747.96961325966
Staten Island,GREAT KILLS-BAY TERRACE,16324650.0,526601.6129032258
Staten Island,GRYMES HILL,9481246.0,430965.7272727273
Staten Island,HUGUENOT,37745956.0,589780.5625
Staten Island,LIVINGSTON,8516310.0,500959.4117647059
Staten Island,MANOR HEIGHTS,37995331.0,527712.9305555555
Staten Island,MARINERS HARBOR,45176783.0,344860.9389312977
Staten Island,MIDLAND BEACH,60796252.0,402624.1854304636
Staten Island,NEW BRIGHTON,41240151.0,392763.34285714285
Staten Island,NEW BRIGHTON-ST. GEORGE,1960000.0,1960000.0
Staten Island,NEW DORP,43147136.0,507613.3647058823
Staten Island,NEW DORP-BEACH,20307418.0,332908.4918032787
Staten Island,NEW DORP-HEIGHTS,27932901.0,570059.2040816327
Staten Island,NEW SPRINGVILLE,90446995.0,558314.7839506173
Staten Island,OAKWOOD,10909078.0,519479.90476190473
Staten Island,OAKWOOD-BEACH,18701375.0,492141.44736842107
Staten Island,PLEASANT PLAINS,17016801.0,680672.04
Staten Island,PORT IVORY,7234313.0,267937.51851851854
Staten Island,PORT RICHMOND,46329592.0,350981.75757575757
Staten Island,PRINCES BAY,43991333.0,628447.6142857143
Staten Island,RICHMONDTOWN,26963825.0,641995.8333333334
Staten Island,RICHMONDTOWN-LIGHTHS HILL,4324999.0,864999.8
Staten Island,ROSEBANK,43544852.0,483831.68888888886
Staten Island,ROSSVILLE,29795602.0,496593.36666666664
Staten Island,ROSSVILLE-CHARLESTON,10107189.0,531957.3157894737
Staten Island,ROSSVILLE-RICHMOND VALLEY,2029480.0,507370.0
Staten Island,SILVER LAKE,15301860.0,566735.5555555555
Staten Island,SOUTH BEACH,56747380.0,476868.7394957983
Staten Island,STAPLETON,19009685.0,358673.30188679247
Staten Island,STAPLETON-CLIFTON,17158982.0,399046.0930232558
Staten Island,SUNNYSIDE,11686000.0,531181.8181818182
Staten Island,TODT HILL,2525000.0,1262500.0
Staten Island,TOMPKINSVILLE,8737600.0,485422.22222222225
Staten Island,TOTTENVILLE,83232438.0,660574.9047619047
Staten Island,TRAVIS,17363215.0,394618.5227272727
Staten Island,WEST NEW BRIGHTON,70476392.0,422014.3233532934
Staten Island,WESTERLEIGH,75755045.0,537269.8226950355
Staten Island,WILLOWBROOK,56235783.0,591955.6105263158
Staten Island,WOODROW,33461885.0,522841.953125
